history_id,person_id,case_id,case_type,year,status,charges,court_name,linked_person_ids,description
c56137a8-ed1e-4c2d-b19d-8de043d24821,38d66af9-6e50-457c-8c19-f962a9c6b435,673c1159-8176-4463-a908-3063d6a97c7e,cheating,2021,convicted,Section 420 IPC - Cheating,District Court,,"Prior record from 2021: proceedings under Section 420 IPC - Cheating. Case handled at District Court, outcome pending trial."
22292afc-abdc-4583-9fb9-42027a9fd2a1,94d607d7-3492-48ab-a373-f24cb1390211,83ef2190-f323-4176-84b7-ac66d71b99ac,cheating,2019,closed,Section 420 IPC - Cheating,District Court,6641b356-0f73-4184-9190-a96424cd43c5,"Prior record from 2019: proceedings under Section 420 IPC - Cheating. Case handled at District Court, outcome convicted."
e572eac7-086d-454b-a963-d626dff0a7fa,43d397f3-6279-4e7b-b1e1-d2dd053d82d2,2adc778d-6d21-47d6-8531-dfa3fdaddb72,public_nuisance,2023,chargesheet_filed,Section 268 IPC - Public Nuisance,Magistrate Court,45fde464-2062-4c6b-8c6d-947c4580b94d,"Prior record from 2023: proceedings under Section 268 IPC - Public Nuisance. Case handled at Magistrate Court, outcome closed."
895a3e19-ab2f-4448-834c-51737bcfe25a,50873f12-f502-48f0-b7b9-1ca825fbb932,7360101f-821c-418f-b537-fba32bdda3d7,theft,2016,closed,Section 379 IPC - Theft,Magistrate Court,,"Prior record from 2016: proceedings under Section 379 IPC - Theft. Case handled at Magistrate Court, outcome convicted."
9d54342a-ab24-4b66-886b-00df2ebb774a,4285df9b-9b16-4ccd-9844-3508c0d49fdc,c6c82c66-753a-40af-af2d-474d8d7283cb,smuggling,2020,chargesheet_filed,Customs Act violation - Smuggling of goods,Special Economic Offences Court,,"Prior record from 2020: proceedings under Customs Act violation - Smuggling of goods. Case handled at Special Economic Offences Court, outcome acquitted."
4c7ab935-6212-4a21-b47d-7ce6f286ef10,58403a85-3bb2-4384-b35a-06d05951268a,5eb57ea1-8ec6-4bc6-a73e-698dc4413def,extortion,2020,chargesheet_filed,Section 384 IPC - Extortion,Sessions Court,,"Prior record from 2020: proceedings under Section 384 IPC - Extortion. Case handled at Sessions Court, outcome acquitted."
6e141b5a-e5a5-4da7-b7e0-860c37316b92,29e44cfd-7d35-4a04-ae90-6fdf73acc416,f8c8f6e7-f7ef-4e49-8d9b-054cf8871113,assault,2023,pending_trial,Section 323 IPC - Voluntarily Causing Hurt,Sessions Court,66608c82-c95e-449d-8483-39e9876092a0,"Prior record from 2023: proceedings under Section 323 IPC - Voluntarily Causing Hurt. Case handled at Sessions Court, outcome chargesheet filed."
12031690-901d-415a-abd3-cdd731bbef66,4e23666b-e908-419c-8413-cc86957ec667,c0ea810c-1a6d-4330-9d2d-894cdfcd94c3,fraud,2019,closed,Section 420/406 IPC - Cheating and Criminal Breach of Trust,District Court,97c19247-87ac-486f-ac15-862d7a702684,"Prior record from 2019: proceedings under Section 420/406 IPC - Cheating and Criminal Breach of Trust. Case handled at District Court, outcome closed."
c25a3df0-fa69-476a-92ba-c19ef80da76a,97c19247-87ac-486f-ac15-862d7a702684,7360101f-821c-418f-b537-fba32bdda3d7,theft,2019,chargesheet_filed,Section 379 IPC - Theft,Magistrate Court,,"Prior record from 2019: proceedings under Section 379 IPC - Theft. Case handled at Magistrate Court, outcome acquitted."
0a69893f-2431-4a85-b4f6-cad2ba95e0c2,4f5ce979-ecb2-4e53-b0e3-6c1a025dc4a2,9aee112e-fb58-4439-be6c-d646e9df16a2,public_nuisance,2018,closed,Section 268 IPC - Public Nuisance,Magistrate Court,,"Prior record from 2018: proceedings under Section 268 IPC - Public Nuisance. Case handled at Magistrate Court, outcome convicted."
12d609b1-5dc4-48cd-889a-8c1fc62c5a8f,7d6f20e1-961e-46de-8504-3ea2f6d7692a,9810dc89-3f1d-4d35-8d48-d08314487679,traffic_violation,2021,chargesheet_filed,Motor Vehicles Act violation,Traffic Court,1f65d744-3aba-46f0-a383-91348dbc4a37,"Prior record from 2021: proceedings under Motor Vehicles Act violation. Case handled at Traffic Court, outcome convicted."
f40c7c7e-1bda-431e-bc98-b35f9ce5a26f,df8f9173-d8b6-46df-ad3c-2ebcbba09b2e,dc78a2bc-f59d-4e50-ad7e-b613cdf894c2,public_nuisance,2016,closed,Section 268 IPC - Public Nuisance,Magistrate Court,a1986a86-ee18-4b99-bde2-9f10ab7ccd8e,"Prior record from 2016: proceedings under Section 268 IPC - Public Nuisance. Case handled at Magistrate Court, outcome pending trial."
34dfa06b-cd93-48cf-86dd-d6d840f205ef,376f27e4-a6c9-48fb-be55-e53c25f6e965,f8c8f6e7-f7ef-4e49-8d9b-054cf8871113,assault,2016,chargesheet_filed,Section 323 IPC - Voluntarily Causing Hurt,Sessions Court,,"Prior record from 2016: proceedings under Section 323 IPC - Voluntarily Causing Hurt. Case handled at Sessions Court, outcome convicted."
a4a61d49-b8aa-40f5-b0dc-9499474d3514,5a6f730b-aff6-4672-843f-6f051b6ca392,5eb57ea1-8ec6-4bc6-a73e-698dc4413def,extortion,2019,closed,Section 384 IPC - Extortion,Sessions Court,9b8c97f6-e515-44fa-9b93-a3cbf7295baa,"Prior record from 2019: proceedings under Section 384 IPC - Extortion. Case handled at Sessions Court, outcome pending trial."
d8aed52c-67d3-4d35-baa5-e390b7ac3074,16279b5f-489c-4c08-842d-99d95e761f7a,9810dc89-3f1d-4d35-8d48-d08314487679,cheating,2018,pending_trial,Section 420 IPC - Cheating,District Court,527acfb6-d569-437a-93dd-9ffe15d94950,"Prior record from 2018: proceedings under Section 420 IPC - Cheating. Case handled at District Court, outcome chargesheet filed."
3ac4229e-dfaa-435e-9066-081e91b21308,9b4e88b4-77b3-4882-8c33-0051f58d3ce4,7360101f-821c-418f-b537-fba32bdda3d7,theft,2023,closed,Section 379 IPC - Theft,Magistrate Court,,"Prior record from 2023: proceedings under Section 379 IPC - Theft. Case handled at Magistrate Court, outcome closed."
