object_id,object_type,description,case_id,associated_person_ids,evidence_reference,seized_date,location_id
cf993be8-5660-4e8b-8fe8-ac4c135a4fc3,document,A set of documents including handwritten notes and printed receipts recovered during the investigation.,b9787f53-534b-412b-9b7f-7e0190046463,80d1a12f-12b3-4bd3-abd1-b154fc01378c,EVD-B9787F-01,2024-12-25,3bcf3cb2-15e9-4118-b082-241e75e7f818
999db213-9623-47aa-8113-42ee9d60f110,cash,"An unmarked bundle of currency notes recovered during the investigation, denomination mixed, amount pending verification.",b9787f53-534b-412b-9b7f-7e0190046463,"8cab76dc-2ec9-4d0f-9aca-8e0e66b20e4b,1edcdcff-eff3-4399-b490-6ece1fd0a750",EVD-B9787F-02,2024-12-20,3bcf3cb2-15e9-4118-b082-241e75e7f818
ceef165f-c88e-4aec-9efb-cc1dd6c63803,contraband,"A sealed package containing suspected contraband material, packed in plain wrapping without markings.",b9787f53-534b-412b-9b7f-7e0190046463,64aa12fe-332b-426d-9e18-1960f6079b69,EVD-B9787F-03,2024-10-14,3bcf3cb2-15e9-4118-b082-241e75e7f818
7a5bffee-ab44-4b0f-80ca-03e55ddae286,electronic_device,"A mobile phone/handset recovered as part of the investigation, pending forensic data extraction.",b9787f53-534b-412b-9b7f-7e0190046463,"6da2a43c-3bff-4bc9-b9d0-5d6b9b496b89,58403a85-3bb2-4384-b35a-06d05951268a",EVD-B9787F-04,2025-05-12,3bcf3cb2-15e9-4118-b082-241e75e7f818
279720bf-2b2a-4dc6-a3cb-642bbffde568,cash,"An unmarked bundle of currency notes recovered during the investigation, denomination mixed, amount pending verification.",23b4b060-fdf5-4d46-9c82-41e1d8db9ee9,"71ca9b1d-db04-4eaf-8500-9080bd12ad54,8bc0df36-e3d8-4a4a-8c8e-accca462e3ee",EVD-23B4B0-01,2024-01-15,3a90b419-d49b-432d-b67f-8fef620d5ecd
877bed34-d957-4b66-9fbe-ba13ad7ee0dd,electronic_device,"A mobile phone/handset recovered as part of the investigation, pending forensic data extraction.",23b4b060-fdf5-4d46-9c82-41e1d8db9ee9,"4285df9b-9b16-4ccd-9844-3508c0d49fdc,1edcdcff-eff3-4399-b490-6ece1fd0a750",EVD-23B4B0-02,2025-05-31,3a90b419-d49b-432d-b67f-8fef620d5ecd
49f2007f-b722-4346-9b48-0c266717e216,contraband,"A sealed package containing suspected contraband material, packed in plain wrapping without markings.",23b4b060-fdf5-4d46-9c82-41e1d8db9ee9,454733be-201b-4f37-bdc8-fabcf42fcd20,EVD-23B4B0-03,2023-10-06,3a90b419-d49b-432d-b67f-8fef620d5ecd
bfb24335-999e-4c7b-ab8e-81b7dbb282a4,cash,"An unmarked bundle of currency notes recovered during the investigation, denomination mixed, amount pending verification.",04f26d44-0c08-4f75-a336-71b46b7a94f1,"4285df9b-9b16-4ccd-9844-3508c0d49fdc,598b970f-3219-4a29-a843-eb1703d9bcc2",EVD-04F26D-01,2024-10-22,c0975979-9043-4963-855f-ca856764a207
1fca393a-b802-48bf-98b6-c720f5ab665a,document,A set of documents including handwritten notes and printed receipts recovered during the investigation.,04f26d44-0c08-4f75-a336-71b46b7a94f1,"94d607d7-3492-48ab-a373-f24cb1390211,55cfdf10-a1a9-4735-ae66-8aae4018cb6a",EVD-04F26D-02,2024-07-19,c0975979-9043-4963-855f-ca856764a207
9f02ab44-8ec9-4ed3-ab08-19a3409b36e8,contraband,"A sealed package containing suspected contraband material, packed in plain wrapping without markings.",b42d372f-b386-46ba-9301-24ab804c2723,"8171e26b-7d4e-41ed-a931-f0414f85531a,94d607d7-3492-48ab-a373-f24cb1390211",EVD-B42D37-01,2025-01-05,c72b3670-988d-4140-b70e-75cb3ec17b11
33dde7a8-def2-48da-99dc-0530d4e66113,cash,"An unmarked bundle of currency notes recovered during the investigation, denomination mixed, amount pending verification.",b42d372f-b386-46ba-9301-24ab804c2723,780380a3-fe83-4fb6-980c-cab0208c14fb,EVD-B42D37-02,2023-11-11,c72b3670-988d-4140-b70e-75cb3ec17b11
834c4667-9883-4f16-ba10-187cd19de20b,cash,"An unmarked bundle of currency notes recovered during the investigation, denomination mixed, amount pending verification.",a7849323-bce8-46b2-a835-75ac4446df2d,24cdea93-60d7-43d6-9004-896d9f1a271a,EVD-A78493-01,2023-11-17,3882bfc6-6f3e-42f1-acd5-875175110e2b
5b681e3b-dea1-45de-983c-a1373eabb384,cash,"An unmarked bundle of currency notes recovered during the investigation, denomination mixed, amount pending verification.",a7849323-bce8-46b2-a835-75ac4446df2d,50873f12-f502-48f0-b7b9-1ca825fbb932,EVD-A78493-02,2024-11-01,3882bfc6-6f3e-42f1-acd5-875175110e2b
ffb36ed7-b7ef-4eb7-a23e-2973e8baaea5,document,A set of documents including handwritten notes and printed receipts recovered during the investigation.,a7849323-bce8-46b2-a835-75ac4446df2d,04d36625-b5aa-4286-a543-bf880a885eb0,EVD-A78493-03,2025-03-12,3882bfc6-6f3e-42f1-acd5-875175110e2b
f1e37011-878e-46d1-bae8-c78d9772ccd9,electronic_device,"A mobile phone/handset recovered as part of the investigation, pending forensic data extraction.",9e1a4a07-e50c-4870-864f-2d705f28fae5,"f41f457b-1975-41bc-97f0-d83efefcce31,3c9c5911-b0c5-46cd-8e9f-f136e566c0be",EVD-9E1A4A-01,2024-12-02,0f50f615-7033-4550-b3c0-1327c1c40070
7a9fc01d-1204-498b-b34e-2040ef20e973,cash,"An unmarked bundle of currency notes recovered during the investigation, denomination mixed, amount pending verification.",9e1a4a07-e50c-4870-864f-2d705f28fae5,"38d66af9-6e50-457c-8c19-f962a9c6b435,24cdea93-60d7-43d6-9004-896d9f1a271a",EVD-9E1A4A-02,2025-03-10,0f50f615-7033-4550-b3c0-1327c1c40070
e1eb6990-a70e-4122-90df-9130104672d1,electronic_device,"A mobile phone/handset recovered as part of the investigation, pending forensic data extraction.",9e1a4a07-e50c-4870-864f-2d705f28fae5,780380a3-fe83-4fb6-980c-cab0208c14fb,EVD-9E1A4A-03,2025-01-22,0f50f615-7033-4550-b3c0-1327c1c40070
d890b735-c4cb-4e05-8f68-f5e01abcfceb,electronic_device,"A mobile phone/handset recovered as part of the investigation, pending forensic data extraction.",9e1a4a07-e50c-4870-864f-2d705f28fae5,4556cc56-b8be-4b38-9780-75ecd506fb1d,EVD-9E1A4A-04,2024-12-19,0f50f615-7033-4550-b3c0-1327c1c40070
f8aa7890-0d05-40f2-8a82-e43c4590e6fc,document,A set of documents including handwritten notes and printed receipts recovered during the investigation.,31b964e9-e0a0-4342-9d40-d7ea00c2e077,"c529d9ef-2cd1-45c2-9e04-a55827105e21,5d4e95f6-a5b7-458f-bb96-16b83c313283",EVD-31B964-01,2025-05-02,0f50f615-7033-4550-b3c0-1327c1c40070
734911e9-6ed6-4395-bd1f-ece68478e854,document,A set of documents including handwritten notes and printed receipts recovered during the investigation.,31b964e9-e0a0-4342-9d40-d7ea00c2e077,"4556cc56-b8be-4b38-9780-75ecd506fb1d,470bc6dc-44e7-4c45-bf4a-da28c0844bdf",EVD-31B964-02,2024-11-25,0f50f615-7033-4550-b3c0-1327c1c40070
2a8d10d7-055a-4434-9b81-d5ff0177d0d4,electronic_device,"A mobile phone/handset recovered as part of the investigation, pending forensic data extraction.",b8d3ad45-c8d8-4136-823b-dc56797bbe6a,02d32b3c-04cd-4db2-87d1-eaea9c739f75,EVD-B8D3AD-01,2024-10-18,1c6b2c51-aa55-4558-ae96-d1770fade444
ee64b6ca-eca5-4966-b651-10a67d1e5023,document,A set of documents including handwritten notes and printed receipts recovered during the investigation.,b8d3ad45-c8d8-4136-823b-dc56797bbe6a,c529d9ef-2cd1-45c2-9e04-a55827105e21,EVD-B8D3AD-02,2025-03-10,1c6b2c51-aa55-4558-ae96-d1770fade444
e877c956-1633-41a5-a434-46b908130cf5,document,A set of documents including handwritten notes and printed receipts recovered during the investigation.,b8d3ad45-c8d8-4136-823b-dc56797bbe6a,"780380a3-fe83-4fb6-980c-cab0208c14fb,8cab76dc-2ec9-4d0f-9aca-8e0e66b20e4b",EVD-B8D3AD-03,2025-02-02,1c6b2c51-aa55-4558-ae96-d1770fade444
2c4ce20e-0111-443b-9ced-3a00ccf7315f,electronic_device,"A mobile phone/handset recovered as part of the investigation, pending forensic data extraction.",9148906d-82d0-44c2-9ce4-224479a19d29,16279b5f-489c-4c08-842d-99d95e761f7a,EVD-914890-01,2024-05-24,a67d384b-edfc-4caa-8a46-8b72e3208724
70be91d4-4010-4c65-95a1-87019883db63,electronic_device,"A mobile phone/handset recovered as part of the investigation, pending forensic data extraction.",9148906d-82d0-44c2-9ce4-224479a19d29,02d32b3c-04cd-4db2-87d1-eaea9c739f75,EVD-914890-02,2024-01-09,a67d384b-edfc-4caa-8a46-8b72e3208724
890a556f-dd75-4f98-8a99-2e7ff71b932e,weapon,"A sharp-edged weapon recovered during the investigation, tagged and sealed as evidence.",9148906d-82d0-44c2-9ce4-224479a19d29,3c9c5911-b0c5-46cd-8e9f-f136e566c0be,EVD-914890-03,2025-01-22,a67d384b-edfc-4caa-8a46-8b72e3208724
bde65cb0-ec44-46ad-8069-edac6318e080,electronic_device,"A mobile phone/handset recovered as part of the investigation, pending forensic data extraction.",7d104ee8-3694-4a75-ae8d-165f02f3074f,"e1631865-a6e0-42ba-8241-0fb34d3cd2d5,38d66af9-6e50-457c-8c19-f962a9c6b435",EVD-7D104E-01,2024-09-10,b9753cbb-9cd4-451b-9705-22cc5bde2d04
759f5554-6557-49fc-a75b-d32a0360b05f,document,A set of documents including handwritten notes and printed receipts recovered during the investigation.,7d104ee8-3694-4a75-ae8d-165f02f3074f,54c82bdd-31ea-4ed6-9d88-87aa3fa602dd,EVD-7D104E-02,2024-06-07,b9753cbb-9cd4-451b-9705-22cc5bde2d04
19ad8eba-454a-40db-8a95-3f1a124786fa,weapon,"A sharp-edged weapon recovered during the investigation, tagged and sealed as evidence.",7d104ee8-3694-4a75-ae8d-165f02f3074f,4bd924a0-4163-4b8e-8fe2-47caadf44a76,EVD-7D104E-03,2024-12-07,b9753cbb-9cd4-451b-9705-22cc5bde2d04
2b753633-be80-447e-8585-099cd5e3f36f,electronic_device,"A mobile phone/handset recovered as part of the investigation, pending forensic data extraction.",7d104ee8-3694-4a75-ae8d-165f02f3074f,"58403a85-3bb2-4384-b35a-06d05951268a,735b7692-768a-477f-9084-61285d2d750f",EVD-7D104E-04,2025-01-04,b9753cbb-9cd4-451b-9705-22cc5bde2d04
23c2b303-aef7-4d83-b3fd-6f05b819db31,document,A set of documents including handwritten notes and printed receipts recovered during the investigation.,d47201c9-711f-4088-af2a-14e95ccd2b8a,6682d7a0-40b3-4146-9c36-1cf8a8ec6ee9,EVD-D47201-01,2024-10-15,3bcf3cb2-15e9-4118-b082-241e75e7f818
3c9a1024-328e-4f4d-a648-3282d5ffcf70,document,A set of documents including handwritten notes and printed receipts recovered during the investigation.,d47201c9-711f-4088-af2a-14e95ccd2b8a,29e44cfd-7d35-4a04-ae90-6fdf73acc416,EVD-D47201-02,2024-11-27,3bcf3cb2-15e9-4118-b082-241e75e7f818
5d5d1be1-fe4b-42d6-8e54-b5fc0b137374,other,"An item of interest recovered in connection with a other case, description pending further examination.",d47201c9-711f-4088-af2a-14e95ccd2b8a,3e42409b-e1ab-442a-9ffd-c75a3f7ddc96,EVD-D47201-03,2024-11-04,3bcf3cb2-15e9-4118-b082-241e75e7f818
546b6ce7-2809-4573-89fb-fb30ddebc78c,other,"An item of interest recovered in connection with a other case, description pending further examination.",d47201c9-711f-4088-af2a-14e95ccd2b8a,"04d36625-b5aa-4286-a543-bf880a885eb0,8cab76dc-2ec9-4d0f-9aca-8e0e66b20e4b",EVD-D47201-04,2025-05-16,3bcf3cb2-15e9-4118-b082-241e75e7f818
f75483e8-50f2-4b75-a28b-94a04eae300e,electronic_device,"A mobile phone/handset recovered as part of the investigation, pending forensic data extraction.",c96763f4-da85-4d19-91b0-4873ddb73a38,73afdf7b-f403-4f68-a828-79d245d66657,EVD-C96763-01,2023-08-27,d890e6e8-e9d5-40b8-8d55-7f7573bd97a1
ed87a633-dae2-42bf-8c8c-b7a6a94a74ae,electronic_device,"A mobile phone/handset recovered as part of the investigation, pending forensic data extraction.",c96763f4-da85-4d19-91b0-4873ddb73a38,"8171e26b-7d4e-41ed-a931-f0414f85531a,50873f12-f502-48f0-b7b9-1ca825fbb932",EVD-C96763-02,2023-11-11,d890e6e8-e9d5-40b8-8d55-7f7573bd97a1
fb85d9dc-0790-4fd3-a1b8-3791d6aea3e9,other,"An item of interest recovered in connection with a other case, description pending further examination.",c96763f4-da85-4d19-91b0-4873ddb73a38,"8171e26b-7d4e-41ed-a931-f0414f85531a,b3e2dabb-54e4-4cdb-9c2a-0c35250aa2b5",EVD-C96763-03,2024-08-06,d890e6e8-e9d5-40b8-8d55-7f7573bd97a1
a5079d1d-ff54-4628-85cd-2a4b09d59d32,document,A set of documents including handwritten notes and printed receipts recovered during the investigation.,c96763f4-da85-4d19-91b0-4873ddb73a38,73afdf7b-f403-4f68-a828-79d245d66657,EVD-C96763-04,2025-04-06,d890e6e8-e9d5-40b8-8d55-7f7573bd97a1
b9dffeb1-0683-439c-8a17-6cf2bf787f97,other,"An item of interest recovered in connection with a theft case, description pending further examination.",7360101f-821c-418f-b537-fba32bdda3d7,458167b1-5667-478d-a6bf-4f1e39407e0e,EVD-736010-01,2024-06-19,a1ac6dda-cf2b-4f37-b3bf-4697fe4e7bff
deca9d77-50b6-4bf8-8588-b5e3c546cc17,jewelry,"An item of jewelry recovered during the investigation, pending identification of rightful owner.",8635c239-221c-45f3-a247-da123a49d95b,2462c2eb-1f1b-47a8-8162-d3130384be69,EVD-8635C2-01,2024-12-11,c72b3670-988d-4140-b70e-75cb3ec17b11
