chat_id,platform,sender_person_id,receiver_person_id,chat_timestamp,message_text,mentioned_person_ids,referenced_location_id,referenced_event_id
5b57863b-57d3-47e6-bd90-582229f96ee7,Twitter,4de490be-92c2-4542-a982-4a674c43b835,3e42409b-e1ab-442a-9ffd-c75a3f7ddc96,2023-09-01T10:21:37Z,Status on the sync near Kapurthala Police Station?,,,
3d3cd3be-4a2a-45f2-a1b7-39324d943bf3,Twitter,3e42409b-e1ab-442a-9ffd-c75a3f7ddc96,4de490be-92c2-4542-a982-4a674c43b835,2023-09-01T10:39:08Z,Moving the usual amount tonight. Same place.,,,
c7319a5d-445f-4f1d-a63b-600c1fa7adc2,Twitter,4de490be-92c2-4542-a982-4a674c43b835,3e42409b-e1ab-442a-9ffd-c75a3f7ddc96,2023-09-01T11:08:39Z,Keep it clean. Kolkata FMCG net is watching.,4604c0fb-6f50-45d8-9c76-8c666a59a025,,
64bf8645-e945-4218-923d-59a8927d4fe9,Twitter,3e42409b-e1ab-442a-9ffd-c75a3f7ddc96,4de490be-92c2-4542-a982-4a674c43b835,2023-09-01T11:47:38Z,Understood. Package leaves at midnight.,,,
e045a971-ca7d-458a-b42b-606d132ba3e0,Telegram,33824001-fe02-4217-b31a-d965654a2d66,50873f12-f502-48f0-b7b9-1ca825fbb932,2023-09-01T10:19:33Z,Got the update on the mentorship sync. Ready.,64aa12fe-332b-426d-9e18-1960f6079b69,,
8b692887-2017-4e4f-b24e-38cb89c2164c,Telegram,50873f12-f502-48f0-b7b9-1ca825fbb932,33824001-fe02-4217-b31a-d965654a2d66,2023-09-01T10:34:30Z,Good. Same place as before?,,,
2d2dbbc3-a751-484e-885c-2bb6b29546e9,Telegram,33824001-fe02-4217-b31a-d965654a2d66,50873f12-f502-48f0-b7b9-1ca825fbb932,2023-09-01T10:57:51Z,Too open. Near the Lotus Temple is better.,c529d9ef-2cd1-45c2-9e04-a55827105e21,,8bbdf302-c880-4b3c-8d63-4b676a6f8c54
ffbc4131-b5f5-4c3a-a739-ce734f1186fd,Telegram,50873f12-f502-48f0-b7b9-1ca825fbb932,33824001-fe02-4217-b31a-d965654a2d66,2023-09-01T11:00:19Z,Fine. Bring the usual amount.,,,
ec6ad675-fce1-4536-bbcd-d7ba01253850,Telegram,33824001-fe02-4217-b31a-d965654a2d66,50873f12-f502-48f0-b7b9-1ca825fbb932,2023-09-01T11:37:04Z,Package is secured. See you at six.,,,
2919a3f8-a9fe-41f1-a299-5be817f3c125,Telegram,33824001-fe02-4217-b31a-d965654a2d66,e1631865-a6e0-42ba-8241-0fb34d3cd2d5,2023-09-01T10:13:19Z,Hey Ritu! Are you ready for Diwali next week?,,,
29b86196-9591-43fd-a478-4a6eaa902049,Telegram,e1631865-a6e0-42ba-8241-0fb34d3cd2d5,33824001-fe02-4217-b31a-d965654a2d66,2023-09-01T10:30:08Z,Almost! Just need to buy sweets and some fairy lights.,,,
7578d55c-1ba0-446d-9d70-eca84363cf62,Telegram,33824001-fe02-4217-b31a-d965654a2d66,e1631865-a6e0-42ba-8241-0fb34d3cd2d5,2023-09-01T10:33:17Z,"Get some kaju katli from Haldirams if you can. Also, remember that file packet you asked about?",,,
1ca7f165-7171-4df8-b8cf-6e8d826d6df5,Telegram,e1631865-a6e0-42ba-8241-0fb34d3cd2d5,33824001-fe02-4217-b31a-d965654a2d66,2023-09-01T11:13:42Z,"Oh yes, did you manage to get it sorted out?",,,
e968c8c9-de4d-4dbd-b474-d10b447ccb3a,Telegram,33824001-fe02-4217-b31a-d965654a2d66,e1631865-a6e0-42ba-8241-0fb34d3cd2d5,2023-09-01T11:26:36Z,"Yes, Ghost handed the documents over near the Supreme Court of India yesterday evening.",3fc017d2-08cb-4e64-8ac6-678a1612aa6b,,
