vehicle_id,registration_number,vehicle_type,make,model,color,owner_person_id,registered_location_id,associated_person_ids
b138a73e-3c81-436a-b1fc-8fd411a17611,RJ15KK2686,car,Maruti Suzuki,Swift,Grey,5d306493-b101-41ff-8897-5fb63e8d853f,c02d795c-a08a-4eac-b4c4-4fefaf879cf7,
7af9253e-c6dd-43a7-83a0-b71a7627f8d7,RJ35LN7356,motorcycle,Hero,Splendor,Blue,7a8dcb3d-2353-4f1c-8481-583a228493ce,c02d795c-a08a-4eac-b4c4-4fefaf879cf7,
545690a3-d5f0-4b50-83b6-20e9ee1d4c52,RJ41WE8753,motorcycle,Honda,Activa,White,7a8dcb3d-2353-4f1c-8481-583a228493ce,c02d795c-a08a-4eac-b4c4-4fefaf879cf7,47635c92-ffa4-4fc8-b344-531214f40b95
27cd771a-38e7-4c01-9eeb-e6354c534b8b,RJ54BC3317,car,Hyundai,Creta,White,da22d3e9-8ebe-4152-94ca-c6259d859ad8,c02d795c-a08a-4eac-b4c4-4fefaf879cf7,
1f041f7f-9b06-4b00-9a93-22fb9d314b87,UP47RA9200,motorcycle,Hero,Splendor,Blue,6bfc4329-68a0-4317-9c16-a40b7be04ac2,86fefb20-41f1-4cf7-8888-b9afdb990b01,
01980e9b-0455-48db-8e4d-abb8db5c5b32,UP39YP7277,van,Mahindra,Bolero Camper,Black,16817167-1c76-444a-b3c0-c65e54712a2a,86fefb20-41f1-4cf7-8888-b9afdb990b01,
aad89d10-c0b3-43f3-a621-ccf0b7c76ef7,UP14VL8275,motorcycle,Bajaj,Pulsar,Grey,7d6f20e1-961e-46de-8504-3ea2f6d7692a,86fefb20-41f1-4cf7-8888-b9afdb990b01,4be433a6-e91f-404d-b1bd-7d3d856145d8
aaf165b5-2747-47e7-88bb-d9f8451e245e,UP36HP2250,car,Mahindra,Bolero,Silver,3c9c5911-b0c5-46cd-8e9f-f136e566c0be,86fefb20-41f1-4cf7-8888-b9afdb990b01,
13cc38db-b0e9-4876-a2d4-c02af34b0ab4,UP36EY4797,motorcycle,Hero,Splendor,Red,24abd191-d037-4855-b375-7a464e656ced,86fefb20-41f1-4cf7-8888-b9afdb990b01,
e9f6de51-6be8-4ac0-a9ae-ca3eeec557eb,UP16GR5028,van,Tata Motors,Winger,Black,6641b356-0f73-4184-9190-a96424cd43c5,86fefb20-41f1-4cf7-8888-b9afdb990b01,
974a9429-9144-46e5-9cf4-f82d53e2c636,UP34JC8018,truck,Tata Motors,LPT 1109,White,6641b356-0f73-4184-9190-a96424cd43c5,86fefb20-41f1-4cf7-8888-b9afdb990b01,43d397f3-6279-4e7b-b1e1-d2dd053d82d2
d31fa7b0-5f39-484a-9c09-f66d6f8ac25c,UP28AQ8705,car,Mahindra,Bolero,Grey,39967684-7922-4d5f-a5c0-c1f2a4d2eb10,86fefb20-41f1-4cf7-8888-b9afdb990b01,
db23cfec-b8a5-491f-87d5-3ea6c4b114c3,TN01PP6790,car,Tata Motors,Nexon,Red,f6a345fd-f373-45ae-897b-3a5e448f0a10,c0975979-9043-4963-855f-ca856764a207,
fab25158-ce7f-4586-af2f-7ce22e9dc537,TN26ZD0946,auto-rickshaw,Bajaj,RE Compact,Maroon,c453596c-6636-48eb-9b21-2a9aab157eab,c0975979-9043-4963-855f-ca856764a207,
a49a1f8c-4bf5-410f-a500-15432174485d,TN43UV6477,car,Kia,Seltos,White,54c82bdd-31ea-4ed6-9d88-87aa3fa602dd,c0975979-9043-4963-855f-ca856764a207,376f27e4-a6c9-48fb-be55-e53c25f6e965
91a3a90f-9126-483f-981f-8636d6626174,TN42ES9445,motorcycle,TVS,Apache,Silver,a58cce80-7076-468f-94d2-5d9da15f955b,c0975979-9043-4963-855f-ca856764a207,
8b478ce7-f415-4029-8184-3344033cc131,TN60XY1648,car,Maruti Suzuki,Swift,White,a58cce80-7076-468f-94d2-5d9da15f955b,c0975979-9043-4963-855f-ca856764a207,
799fe875-7718-41c3-9813-f646e33c3a5f,UP15MZ8419,car,Hyundai,i20,Blue,01a47444-734f-4ef7-a3a4-92fd4f5673d8,5de0aec7-f8dc-425d-8e90-d5e96c9c6fb3,
ba8b93c2-8c92-432b-a56b-c5caccb67c48,UP19JV2188,car,Mahindra,Bolero,Blue,f41f457b-1975-41bc-97f0-d83efefcce31,5de0aec7-f8dc-425d-8e90-d5e96c9c6fb3,780380a3-fe83-4fb6-980c-cab0208c14fb
f7de5e8f-fcce-44eb-acfc-b8d29c017ed9,UP14BR3619,car,Tata Motors,Nexon,Blue,43fbb141-67d7-4de2-8f11-99a6591b1748,5de0aec7-f8dc-425d-8e90-d5e96c9c6fb3,
b37d5bcc-1076-40eb-b069-d296fa29aed4,UP19SG5003,motorcycle,TVS,Apache,Grey,a0eec687-e78f-40c8-b68d-013ff0f8149c,5de0aec7-f8dc-425d-8e90-d5e96c9c6fb3,
8299c958-cf25-4c1e-9215-b06cfb7845a2,UP29BU3055,motorcycle,Hero,Splendor,Blue,745b0fba-f5d3-40c3-9aa5-758b06aa1954,5de0aec7-f8dc-425d-8e90-d5e96c9c6fb3,
9f8e9b05-9528-46cc-8699-8b7fdcb95c5c,UP22EL8433,motorcycle,Bajaj,Pulsar,Blue,5bac2cac-75e9-4981-98e1-8b843874d8fd,5de0aec7-f8dc-425d-8e90-d5e96c9c6fb3,
30617b77-094a-42fd-be77-7c1ca24c332b,UP22MS4014,auto-rickshaw,Bajaj,RE Compact,Blue,8f894cdd-94c2-4c60-b0af-002ffeeb7d56,c72b3670-988d-4140-b70e-75cb3ec17b11,
41d82c6a-91d2-4b8d-a387-10bddb9b793f,UP10ES0123,motorcycle,Royal Enfield,Classic 350,Maroon,dd4f5e05-61d1-41cf-8117-8089f01c9c54,c72b3670-988d-4140-b70e-75cb3ec17b11,
63ddfba5-ff05-4e8c-9d02-dc09b2d711a7,UP27ZJ7311,truck,Tata Motors,LPT 1109,Grey,1625d745-435b-464f-8b41-7bb07e32d54f,c72b3670-988d-4140-b70e-75cb3ec17b11,
17374a3e-2982-42c3-877b-ff3891f26bdf,TN40KR3286,motorcycle,Royal Enfield,Classic 350,Blue,1566dfa7-583e-4869-b4e2-ec7267bbbf29,c059e218-b273-4941-8842-7fa64f52a475,
4956fd0b-e3c8-44b2-ac88-0da55d41fd20,GJ42GC5527,motorcycle,Honda,Activa,Blue,a6e01bb6-e7d3-41a8-8e60-51bb1616d131,014215a7-d217-430a-8364-14c98610181e,
089723da-53cf-433a-a375-a7fb01448f5f,GJ52FP8980,truck,Eicher,Pro 2049,Silver,301d5ff0-c633-470a-991d-b434ba34b84c,014215a7-d217-430a-8364-14c98610181e,
ef5c22e5-2ce9-4044-9360-da96f65e318a,GJ05XZ6088,motorcycle,TVS,Apache,Silver,712d9149-66e4-4e37-87a3-98f91e39528b,014215a7-d217-430a-8364-14c98610181e,
128fa0be-bdb6-4c91-b5ce-cab912829606,GJ35MS5198,motorcycle,TVS,Apache,Grey,a3ea767d-af72-417a-985f-a19a89b8725a,014215a7-d217-430a-8364-14c98610181e,
36faf908-735c-4bb6-ae21-ae1cae2cb542,GJ31SG5922,van,Tata Motors,Winger,White,b24af610-2d8d-4597-b400-5c224281b9ee,014215a7-d217-430a-8364-14c98610181e,
69b49ae9-d18a-47d3-aa21-324516750069,MH04VY6785,motorcycle,Royal Enfield,Classic 350,Black,7d9588a6-ed36-4e65-a049-b78ff1fed110,dcab7c79-270b-4d35-ad1e-3714b5b3d15b,
871935b8-5254-4e6c-98a8-c3bb67c62c19,MH56QR7646,van,Tata Motors,Winger,Red,3b2df297-1cf6-4878-9cdd-a165757f4d13,dcab7c79-270b-4d35-ad1e-3714b5b3d15b,
4249762d-2ea7-4be4-8092-b64b93abdf2b,MH23XH4148,car,Maruti Suzuki,WagonR,White,f1a8d7c2-5601-4f24-9a1e-a4602b9fc452,dcab7c79-270b-4d35-ad1e-3714b5b3d15b,
fe197a46-5a54-461d-993e-616af1775e00,MH47EY9704,motorcycle,Honda,Activa,Blue,f0b9c854-5c74-4e1d-9a3e-d98aad2eb796,dcab7c79-270b-4d35-ad1e-3714b5b3d15b,
2f4ed922-e967-49e4-a2b2-c62325c1c227,MH55YR5515,motorcycle,Hero,Splendor,Black,97c19247-87ac-486f-ac15-862d7a702684,dcab7c79-270b-4d35-ad1e-3714b5b3d15b,
c4136d58-a475-4dd9-b0d7-2543429c4f37,MH22UZ9176,auto-rickshaw,Bajaj,RE Compact,Black,97c19247-87ac-486f-ac15-862d7a702684,dcab7c79-270b-4d35-ad1e-3714b5b3d15b,
e9cee899-6b5c-4bd9-8d59-1b3b50351478,WB44AA0704,motorcycle,Royal Enfield,Classic 350,Blue,ffb11dae-2aff-4e98-8384-6b2169e79785,943731aa-f7f4-45ff-b9ae-48f396e860e0,
52bde9e2-a9db-45d6-a0a2-745edc5f310c,TR09YD7070,van,Maruti Suzuki,Eeco,Blue,1b6cec20-660f-4e8c-a927-c4b64d300ec3,cc25d34d-0396-4913-b1c3-0766f4f66c68,
c8ca3286-5761-4bc2-80a4-472862ef0e1c,TR55DQ4700,motorcycle,Bajaj,Pulsar,Black,c8388749-8792-499f-8d2c-46c54adc4495,cc25d34d-0396-4913-b1c3-0766f4f66c68,
31d5b285-b208-4075-b795-86647545ad1e,TR24GH5390,car,Maruti Suzuki,Swift,Silver,718c8dcc-4632-4831-aa1a-5706160a9a02,cc25d34d-0396-4913-b1c3-0766f4f66c68,
66330daf-244d-45c6-97e6-40f4c410eb34,TR16VK5415,car,Tata Motors,Nexon,Maroon,760ca9ec-df70-4aa9-a799-c8069fb2dc29,cc25d34d-0396-4913-b1c3-0766f4f66c68,
b7206d42-6497-4340-8508-a91ffff4dfdb,TR55NA7521,van,Mahindra,Bolero Camper,Silver,91cd6afb-4617-4190-8d3d-0b5d013a15ca,cc25d34d-0396-4913-b1c3-0766f4f66c68,
